Time,dt_sound_level_dB
17/03/2022 14:28,65
17/03/2022 14:29,63
17/03/2022 14:30,59
17/03/2022 14:31,62
17/03/2022 14:32,66
17/03/2022 14:33,64
17/03/2022 14:34,65
17/03/2022 14:35,64
17/03/2022 16:36,57
17/03/2022 16:37,65
17/03/2022 16:38,58
17/03/2022 16:39,57
17/03/2022 16:40,65
17/03/2022 16:41,59
17/03/2022 16:42,56
17/03/2022 16:43,64
17/03/2022 16:44,61
17/03/2022 16:45,55
17/03/2022 16:46,65
17/03/2022 16:47,62
17/03/2022 16:48,54
17/03/2022 16:49,62
17/03/2022 16:50,61
17/03/2022 16:51,54
17/03/2022 16:52,61
17/03/2022 16:53,59
17/03/2022 16:54,55
17/03/2022 16:55,60
17/03/2022 17:17,54
17/03/2022 17:18,60
17/03/2022 17:19,60
17/03/2022 17:20,53
17/03/2022 17:21,60
17/03/2022 17:22,62
17/03/2022 17:23,51
17/03/2022 17:24,61
17/03/2022 17:25,63
17/03/2022 17:36,55
17/03/2022 17:37,63
17/03/2022 17:38,57
17/03/2022 17:39,55
17/03/2022 17:40,63
17/03/2022 17:41,60
17/03/2022 17:42,55
17/03/2022 17:43,62
17/03/2022 17:44,57
17/03/2022 17:45,56
17/03/2022 17:46,62
17/03/2022 17:47,60
17/03/2022 17:48,54
17/03/2022 17:49,61
17/03/2022 17:50,60
17/03/2022 17:51,54
17/03/2022 17:52,60
17/03/2022 17:53,61
17/03/2022 17:54,53
17/03/2022 17:55,59
17/03/2022 17:56,61
17/03/2022 17:57,53
17/03/2022 17:58,59
17/03/2022 17:59,63
17/03/2022 18:00,55
17/03/2022 18:01,55
17/03/2022 18:02,62
17/03/2022 18:03,56
17/03/2022 18:04,54
17/03/2022 18:05,63
17/03/2022 18:36,56
17/03/2022 18:37,61
17/03/2022 18:38,56
17/03/2022 18:39,58
17/03/2022 18:40,62
17/03/2022 18:41,58
17/03/2022 18:42,53
17/03/2022 18:43,60
17/03/2022 18:44,59
17/03/2022 18:45,56
17/03/2022 18:46,59
17/03/2022 18:47,60
17/03/2022 18:48,54
17/03/2022 18:49,60
17/03/2022 18:50,61
17/03/2022 18:51,54
17/03/2022 18:52,63
17/03/2022 18:53,63
17/03/2022 18:54,60
17/03/2022 18:55,58
17/03/2022 18:56,61
17/03/2022 18:57,55
17/03/2022 18:58,57
17/03/2022 18:59,60
17/03/2022 19:00,60
17/03/2022 19:01,61
17/03/2022 19:02,58
17/03/2022 19:03,56
17/03/2022 19:04,58
17/03/2022 19:05,57
17/03/2022 19:17,58
17/03/2022 19:18,60
17/03/2022 19:19,62
17/03/2022 19:20,56
17/03/2022 19:21,58
17/03/2022 19:22,61
17/03/2022 19:23,56
17/03/2022 19:24,53
17/03/2022 19:25,61
17/03/2022 21:06,56
17/03/2022 21:07,55
17/03/2022 21:08,56
17/03/2022 21:10,55
17/03/2022 21:11,55
17/03/2022 21:12,57
17/03/2022 21:13,55
17/03/2022 21:14,55
17/03/2022 21:15,56
17/03/2022 21:16,58
17/03/2022 21:17,58
17/03/2022 21:18,52
17/03/2022 21:19,53
17/03/2022 21:20,56
17/03/2022 21:21,58
17/03/2022 21:22,59
17/03/2022 21:23,56
17/03/2022 21:24,56
17/03/2022 21:25,55
