sep=,
"Time","dt_sound_level_dB"
2022-03-16 23:44:00,49
2022-03-16 23:45:00,53
2022-03-16 23:46:00,52
2022-03-16 23:47:00,51
2022-03-17 00:07:00,50
2022-03-17 00:08:00,53
2022-03-17 00:09:00,53
2022-03-17 00:10:00,51
2022-03-17 00:11:00,49
2022-03-17 00:12:00,49
2022-03-17 00:13:00,51
2022-03-17 00:14:00,53
2022-03-17 00:15:00,50
2022-03-17 00:16:00,52
2022-03-17 01:48:00,46
2022-03-17 01:49:00,47
2022-03-17 01:50:00,47
2022-03-17 01:51:00,48
2022-03-17 01:52:00,48
2022-03-17 01:53:00,48
2022-03-17 01:54:00,47
2022-03-17 01:55:00,46
2022-03-17 01:56:00,45
2022-03-17 01:57:00,52
2022-03-17 01:58:00,48
2022-03-17 01:59:00,47
2022-03-17 02:00:00,45
2022-03-17 02:01:00,46
2022-03-17 02:02:00,47
2022-03-17 02:03:00,49
2022-03-17 02:04:00,45
2022-03-17 02:05:00,48
2022-03-17 02:06:00,47
2022-03-17 02:07:00,49
2022-03-17 02:08:00,49
2022-03-17 02:09:00,49
2022-03-17 02:10:00,49
2022-03-17 02:11:00,54
2022-03-17 02:12:00,47
2022-03-17 02:13:00,46
2022-03-17 02:14:00,44
2022-03-17 02:15:00,47
2022-03-17 02:16:00,54
2022-03-17 02:27:00,48
2022-03-17 02:28:00,47
2022-03-17 02:29:00,48
2022-03-17 02:30:00,52
2022-03-17 02:32:00,48
2022-03-17 02:33:00,49
2022-03-17 02:34:00,51
2022-03-17 02:35:00,50
2022-03-17 02:36:00,51
2022-03-17 02:37:00,49
2022-03-17 02:38:00,50
2022-03-17 02:39:00,49
2022-03-17 02:40:00,45
2022-03-17 02:41:00,45
2022-03-17 02:42:00,48
2022-03-17 02:43:00,47
2022-03-17 02:44:00,49
2022-03-17 02:45:00,45
2022-03-17 02:46:00,46
2022-03-17 02:47:00,43
2022-03-17 02:48:00,44
2022-03-17 02:49:00,45
2022-03-17 02:50:00,45
2022-03-17 02:51:00,42
2022-03-17 02:52:00,43
2022-03-17 02:53:00,42
2022-03-17 02:54:00,45
2022-03-17 02:55:00,46
2022-03-17 02:56:00,48
2022-03-17 03:07:00,42
2022-03-17 03:08:00,43
2022-03-17 03:09:00,45
2022-03-17 03:10:00,50
2022-03-17 03:11:00,47
2022-03-17 03:12:00,42
2022-03-17 03:13:00,42
2022-03-17 03:14:00,45
2022-03-17 03:15:00,46
2022-03-17 03:16:00,49
2022-03-17 03:17:00,42
2022-03-17 03:18:00,45
2022-03-17 03:19:00,54
2022-03-17 03:20:00,50
2022-03-17 03:21:00,43
2022-03-17 03:22:00,44
2022-03-17 03:23:00,46
2022-03-17 03:24:00,45
2022-03-17 03:25:00,43
2022-03-17 03:26:00,51
2022-03-17 03:38:00,48
2022-03-17 03:39:00,44
2022-03-17 03:40:00,43
2022-03-17 03:41:00,43
2022-03-17 03:42:00,44
2022-03-17 03:43:00,43
2022-03-17 03:44:00,42
2022-03-17 03:45:00,47
2022-03-17 03:46:00,48
2022-03-17 03:47:00,44
2022-03-17 03:48:00,42
2022-03-17 03:49:00,45
2022-03-17 03:50:00,42
2022-03-17 03:51:00,43
2022-03-17 03:52:00,42
2022-03-17 03:53:00,45
2022-03-17 03:54:00,42
2022-03-17 03:55:00,42
2022-03-17 03:56:00,47
2022-03-17 04:07:00,43
2022-03-17 04:08:00,44
2022-03-17 04:09:00,48
2022-03-17 04:10:00,46
2022-03-17 04:11:00,44
2022-03-17 04:12:00,42
2022-03-17 04:13:00,42
2022-03-17 04:14:00,51
2022-03-17 04:15:00,45
2022-03-17 04:16:00,43
2022-03-17 04:27:00,50
2022-03-17 04:28:00,48
2022-03-17 04:29:00,54
2022-03-17 04:30:00,48
2022-03-17 04:32:00,50
2022-03-17 04:33:00,49
2022-03-17 04:34:00,50
2022-03-17 04:35:00,52
2022-03-17 04:36:00,50
2022-03-17 04:37:00,47
2022-03-17 04:38:00,45
2022-03-17 04:39:00,47
2022-03-17 04:40:00,45
2022-03-17 04:41:00,52
2022-03-17 04:42:00,45
2022-03-17 04:43:00,43
2022-03-17 04:44:00,47
2022-03-17 04:45:00,46
2022-03-17 04:46:00,45
2022-03-17 04:47:00,46
2022-03-17 06:48:00,55
2022-03-17 06:49:00,57
2022-03-17 06:50:00,60
2022-03-17 06:51:00,53
2022-03-17 06:52:00,55
2022-03-17 06:53:00,54
2022-03-17 06:54:00,53
2022-03-17 06:55:00,58
2022-03-17 06:56:00,56
2022-03-17 06:57:00,56
2022-03-17 06:58:00,54
2022-03-17 06:59:00,58
2022-03-17 07:00:00,56
2022-03-17 07:01:00,56
2022-03-17 07:02:00,57
2022-03-17 07:03:00,60
2022-03-17 07:04:00,56
2022-03-17 07:05:00,53
2022-03-17 07:06:00,57
2022-03-17 07:07:00,54
2022-03-17 07:08:00,54
2022-03-17 07:09:00,58
2022-03-17 07:10:00,58
2022-03-17 07:11:00,57
2022-03-17 07:12:00,60
2022-03-17 07:13:00,59
2022-03-17 07:14:00,53
2022-03-17 07:15:00,62
2022-03-17 07:16:00,59
2022-03-17 07:38:00,61
2022-03-17 07:39:00,58
2022-03-17 07:40:00,61
2022-03-17 07:41:00,59
2022-03-17 07:42:00,58
2022-03-17 07:43:00,59
2022-03-17 07:44:00,58
2022-03-17 07:45:00,61
2022-03-17 07:46:00,62
2022-03-17 07:47:00,62
2022-03-17 08:57:00,56
2022-03-17 08:58:00,61
2022-03-17 08:59:00,61
2022-03-17 09:00:00,58
2022-03-17 09:01:00,57
2022-03-17 09:02:00,62
2022-03-17 09:03:00,58
2022-03-17 09:04:00,59
2022-03-17 09:05:00,60
2022-03-17 09:06:00,59
2022-03-17 09:07:00,58
2022-03-17 09:08:00,60
2022-03-17 09:09:00,62
2022-03-17 09:10:00,58
2022-03-17 09:11:00,61
2022-03-17 09:12:00,58
2022-03-17 09:13:00,58
